delivery_id,attempt_number,status,response_code,latency_ms,error,attempted_at
99ff23d0011f4af7,1,success,200,3.18,,1787875601.3566253
def61d1b3f904503,1,success,200,2.83,,1787875601.360179
6592f1e956ca49fc,1,success,200,2.51,,1787875601.3649366
9632389b67c5407c,1,failed,503,3.28,HTTP 503,1787875601.3733842
9a16d719d842456a,1,failed,503,3.26,HTTP 503,1787875601.3747282
0988cf9646fd4795,1,success,200,1.94,,1787875601.3770657
32e304e316d54d4a,1,success,200,1.69,,1787875601.380799
578dc6c0c1e14635,1,success,200,1.7,,1787875601.387712
edd046a3a88e45a4,1,success,200,2.38,,1787875601.3907313
6379e64ec33e4a75,1,success,200,2.3,,1787875601.395737
8ec8ad2480254a91,1,success,200,1.94,,1787875601.4083443
eeb467c6108b4d10,1,success,200,1.91,,1787875601.414186
4f7048b23688482e,1,failed,,602.43,timeout,1787875601.9703915
d2b8ce51a7d34c95,1,failed,,601.6,timeout,1787875601.9791358
33af1efd8a204a5a,1,success,200,2.03,,1787875601.9821286
d9e196f1cc414bf9,1,failed,,602.14,timeout,1787875601.984
bd3d78c813ca485c,1,success,200,2.24,,1787875601.9868624
5c72e3440b484680,1,success,200,1.61,,1787875601.989249
e8b7ac963a1c4f0f,1,success,200,1.62,,1787875601.9915035
d657592b6c9843b4,1,failed,503,1.44,HTTP 503,1787875601.9935594
96f9315113b443e3,1,failed,,603.28,timeout,1787875602.0030763
3f595a74b09046ed,1,success,200,1.55,,1787875602.0053642
aa147f1981ec40d3,1,success,200,1.71,,1787875602.0080733
6974220306254e78,1,success,200,1.56,,1787875602.010164
250118d3319c4f58,1,failed,,601.87,timeout,1787875602.034325
bfaba2c3926d47e7,1,failed,,602.26,timeout,1787875602.036223
3c4a373cd7a440e6,1,failed,503,3.36,HTTP 503,1787875602.0387428
dbc7ef8d55a84d96,1,success,200,3.38,,1787875602.0408628
27ac70fac6b3413c,1,success,200,2.54,,1787875602.0420797
d8cdb305d2bb4cf5,1,success,200,1.56,,1787875602.0458808
df4e2d126e89477c,1,failed,,602.05,timeout,1787875602.5738292
7f23f8546d1641ea,1,success,200,2.17,,1787875602.5770595
a3092a520ff049e8,1,success,200,2.28,,1787875602.5802932
b1b5b71883704184,1,success,200,2.02,,1787875602.5834413
9d269d844a4d4d47,1,failed,,602.09,timeout,1787875602.5849125
ae06d5521b2b43b5,1,success,200,2.05,,1787875602.586307
101b25b3b3ae4a22,1,failed,503,1.97,HTTP 503,1787875602.5884864
f4c83fe67bdd4659,1,success,200,2.27,,1787875602.5910728
994c342d4e4e4c1e,1,failed,503,2.48,HTTP 503,1787875602.5942066
6b0ec36a6bbf4a94,1,failed,,601.95,timeout,1787875602.5964403
6348a282255544de,1,success,200,3.62,,1787875602.596957
6fb27d1a82bc4ec0,1,success,200,3.22,,1787875602.6009564
ee4d0488de3c4065,1,success,200,2.03,,1787875602.6040385
0e68acbc3ff044ea,1,success,200,1.62,,1787875602.6064384
cff81c1fa7824357,1,success,200,1.52,,1787875602.6085012
f9b007ec3cbc45a3,1,failed,,601.58,timeout,1787875602.6123338
05a63a2935ec4e28,1,failed,503,1.65,HTTP 503,1787875602.6147852
33b9d66253e44fd2,1,success,200,1.51,,1787875602.6169517
68db00d824ec425a,1,success,200,1.72,,1787875602.6198118
ee2c375bd00c46be,1,success,200,1.62,,1787875602.6220164
3cf033f74e0a40be,1,success,200,1.62,,1787875602.6241393
e97e6b2c74d24fb5,1,failed,503,1.61,HTTP 503,1787875602.627026
722329c0dac7491f,1,success,200,1.58,,1787875602.6293
44cbec84a98447e9,1,success,200,1.51,,1787875602.6316154
1a87b988a7b147c8,1,failed,,602.13,timeout,1787875602.6448667
6bdde7d7271c4b07,1,failed,,601.97,timeout,1787875602.6486123
a98d84058751472e,1,failed,,602.94,timeout,1787875603.1982787
cb674cfa391d4e31,1,success,200,2.11,,1787875603.2013535
0f2fe0e2572b4192,1,failed,,602.84,timeout,1787875603.2024336
938ddf13201247f0,1,success,200,2.49,,1787875603.2044928
5edd8b3c439143f8,1,success,200,2.32,,1787875603.207179
3d611806428746c9,1,success,200,1.66,,1787875603.2101107
c2a75edff894494e,1,failed,,601.53,timeout,1787875603.2110488
390034c33bfd40db,1,success,200,3.18,,1787875603.2138171
bc40fcd7271c42cc,1,success,200,3.44,,1787875603.2158968
723ae24ddc244089,1,failed,503,1.92,HTTP 503,1787875603.217035
be450019f2e440e7,1,success,200,2.65,,1787875603.2199283
8fbb7e9fa7cc46f4,1,success,200,2.79,,1787875603.222024
fe615d0afcf4459b,1,success,200,2.4,,1787875603.2232623
ee2302fe1b964ad8,1,success,200,2.69,,1787875603.2266514
1a246cc80b0a49d9,1,success,200,3.44,,1787875603.228439
a96e0a5f76f141ca,1,success,200,1.66,,1787875603.2312179
d3f236d9f3864db9,1,failed,,602.05,timeout,1787875603.2343247
ee8eada278c24719,1,failed,503,1.46,HTTP 503,1787875603.2365
bfcca429cafd40e7,1,success,200,1.59,,1787875603.2387538
f2d61774b09542df,1,success,200,1.51,,1787875603.240887
9b1c2a8b079c448d,1,failed,503,1.61,HTTP 503,1787875603.2433815
1ec5be73046f4d0b,1,success,200,1.96,,1787875603.2461488
83ff757289544801,1,failed,,601.07,timeout,1787875603.2470965
2cf009a6c1784ebc,1,success,200,3.16,,1787875603.2498484
657a6e0a2291480e,1,failed,,601.32,timeout,1787875603.2511098
6707d33b0a0d4f14,1,success,200,2.78,,1787875603.253526
19adf1cc478d4e1b,1,success,200,2.21,,1787875603.2546086
2b8ecac6588d49f7,1,success,200,1.55,,1787875603.2580204
950c35affcd24577,1,failed,,602.17,timeout,1787875603.8088734
6551ab02bd554005,1,success,200,2.89,,1787875603.8133945
783f0735c1d7418b,1,success,200,1.82,,1787875603.8159795
cbaa8322bab94bb0,1,failed,503,1.6,HTTP 503,1787875603.8183508
a0e5062720d14f42,1,failed,503,1.8,HTTP 503,1787875603.820849
e74dd2553bc64d6f,1,success,200,1.94,,1787875603.8235075
3761fb4fb3b14ba6,1,success,200,1.69,,1787875603.8261497
8ad2f19357a04719,1,failed,503,1.81,HTTP 503,1787875603.8286018
