delivery_id,event_type,endpoint_url,endpoint_failure_rate,status,attempt_count,max_attempts,last_response_code,last_error,created_at,updated_at,total_latency_s
99ff23d0011f4af7,order.created,http://127.0.0.1:5001/webhook/reliable-partner,0.0,success,1,6,200,,1787875601.2166271,1787875601.3566253,0.14
def61d1b3f904503,order.created,http://127.0.0.1:5001/webhook/mostly-stable-partner,0.2,success,1,6,200,,1787875601.2169027,1787875601.360179,0.143
9632389b67c5407c,order.created,http://127.0.0.1:5001/webhook/flaky-partner,0.5,success,6,6,200,,1787875601.217117,1787875633.1489866,31.932
0988cf9646fd4795,order.created,http://127.0.0.1:5001/webhook/very-flaky-partner,0.8,success,1,6,200,,1787875601.2173169,1787875601.3770657,0.16
32e304e316d54d4a,payment.succeeded,http://127.0.0.1:5001/webhook/reliable-partner,0.0,success,1,6,200,,1787875601.2200546,1787875601.380799,0.161
6592f1e956ca49fc,payment.succeeded,http://127.0.0.1:5001/webhook/mostly-stable-partner,0.2,success,1,6,200,,1787875601.2202866,1787875601.3649366,0.145
4f7048b23688482e,payment.succeeded,http://127.0.0.1:5001/webhook/flaky-partner,0.5,success,6,6,200,,1787875601.220473,1787875632.5422695,31.322
df4e2d126e89477c,payment.succeeded,http://127.0.0.1:5001/webhook/very-flaky-partner,0.8,success,4,6,200,,1787875601.220702,1787875624.7147968,23.494
7f23f8546d1641ea,payment.failed,http://127.0.0.1:5001/webhook/reliable-partner,0.0,success,1,6,200,,1787875601.2232687,1787875602.5770595,1.354
a3092a520ff049e8,payment.failed,http://127.0.0.1:5001/webhook/mostly-stable-partner,0.2,success,1,6,200,,1787875601.2234974,1787875602.5802932,1.357
9a16d719d842456a,payment.failed,http://127.0.0.1:5001/webhook/flaky-partner,0.5,success,2,6,200,,1787875601.2236857,1787875613.1025968,11.879
d2b8ce51a7d34c95,payment.failed,http://127.0.0.1:5001/webhook/very-flaky-partner,0.8,success,2,6,200,,1787875601.2238886,1787875613.7248952,12.501
33af1efd8a204a5a,user.updated,http://127.0.0.1:5001/webhook/reliable-partner,0.0,success,1,6,200,,1787875601.2266126,1787875601.9821286,0.756
9d269d844a4d4d47,user.updated,http://127.0.0.1:5001/webhook/mostly-stable-partner,0.2,success,2,6,200,,1787875601.2268698,1787875614.192503,12.966
101b25b3b3ae4a22,user.updated,http://127.0.0.1:5001/webhook/flaky-partner,0.5,success,2,6,200,,1787875601.2270885,1787875613.581651,12.355
d9e196f1cc414bf9,user.updated,http://127.0.0.1:5001/webhook/very-flaky-partner,0.8,dead_letter,6,6,,timeout,1787875601.2272737,1787875635.580514,34.353
bd3d78c813ca485c,invoice.paid,http://127.0.0.1:5001/webhook/reliable-partner,0.0,success,1,6,200,,1787875601.2299573,1787875601.9868624,0.757
5c72e3440b484680,invoice.paid,http://127.0.0.1:5001/webhook/mostly-stable-partner,0.2,success,1,6,200,,1787875601.2301931,1787875601.989249,0.759
e8b7ac963a1c4f0f,invoice.paid,http://127.0.0.1:5001/webhook/flaky-partner,0.5,success,1,6,200,,1787875601.2303772,1787875601.9915035,0.761
